               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.037759,            0.064855,             0.07681,            0.025655,             0.41087,            0.028051,            0.021731,            0.031487,            0.043705,            0.076487,             0.00307,             0.00307,             0.00307
                  72,            0.035247,            0.063517,            0.076907,            0.025897,             0.41199,            0.028208,            0.021749,            0.031557,            0.043395,            0.076459,            0.002971,            0.002971,            0.002971
                  73,            0.035762,            0.065024,            0.076876,            0.026507,             0.41208,             0.02834,            0.021803,            0.031622,            0.043626,            0.076472,            0.002872,            0.002872,            0.002872
                  74,            0.035691,            0.063633,             0.07654,            0.026532,             0.41225,            0.028577,             0.02191,            0.032445,            0.044105,            0.076448,            0.002773,            0.002773,            0.002773
                  75,            0.035713,            0.060529,            0.076597,            0.026165,             0.40986,            0.028457,            0.021805,            0.032088,            0.044149,            0.076441,            0.002674,            0.002674,            0.002674
                  76,            0.034604,            0.063808,            0.076757,            0.026443,             0.40959,             0.02853,            0.021889,            0.031401,            0.043531,            0.076429,            0.002575,            0.002575,            0.002575
                  77,            0.036225,            0.066817,            0.076588,            0.026585,             0.41099,            0.028591,            0.021924,            0.031264,            0.043541,            0.076413,            0.002476,            0.002476,            0.002476
                  78,            0.035755,             0.06602,            0.076514,            0.026651,             0.41211,             0.02869,            0.022146,             0.03132,            0.043471,            0.076408,            0.002377,            0.002377,            0.002377
                  79,            0.034758,            0.064401,            0.076896,             0.02666,             0.41253,            0.028579,            0.022125,            0.031153,            0.043349,            0.076411,            0.002278,            0.002278,            0.002278
                  80,            0.035295,            0.064362,            0.076859,            0.026581,             0.41352,             0.02865,            0.021992,            0.031297,            0.043346,            0.076404,            0.002179,            0.002179,            0.002179
                  81,            0.035374,            0.065223,            0.076902,            0.026416,             0.41193,            0.028584,            0.022216,            0.030992,            0.042936,            0.076401,             0.00208,             0.00208,             0.00208
                  82,            0.035625,            0.062824,            0.076738,             0.02644,             0.41171,            0.028644,            0.022279,            0.031126,            0.043339,              0.0764,            0.001981,            0.001981,            0.001981
                  83,            0.034537,            0.061141,            0.076666,            0.026002,             0.41144,            0.028721,            0.022396,             0.03095,            0.043122,            0.076395,            0.001882,            0.001882,            0.001882
                  84,            0.035144,            0.062555,            0.076534,            0.026489,             0.41016,            0.028222,             0.02199,            0.030796,            0.043077,            0.076389,            0.001783,            0.001783,            0.001783
                  85,            0.034749,            0.061036,            0.076788,            0.026929,             0.41215,            0.028552,            0.022064,            0.031033,            0.042893,            0.076377,            0.001684,            0.001684,            0.001684
                  86,             0.03326,            0.059661,            0.076854,            0.026851,             0.41148,            0.028746,            0.022316,            0.030819,            0.042743,            0.076371,            0.001585,            0.001585,            0.001585
                  87,            0.035965,             0.06395,            0.076562,            0.026319,              0.4094,             0.02825,            0.022033,            0.030665,            0.042579,            0.076376,            0.001486,            0.001486,            0.001486
                  88,            0.034349,            0.062508,            0.076553,            0.025751,             0.40894,            0.028189,            0.021899,            0.030837,            0.042858,            0.076366,            0.001387,            0.001387,            0.001387
                  89,             0.03408,            0.064643,            0.076645,            0.026709,             0.41246,            0.028752,            0.022456,            0.030601,            0.042561,            0.076361,            0.001288,            0.001288,            0.001288
                  90,            0.035069,            0.062398,             0.07657,            0.026756,             0.41223,            0.028679,            0.022443,            0.030482,            0.042382,            0.076358,            0.001189,            0.001189,            0.001189
                  91,            0.034051,            0.060235,            0.076699,            0.026748,             0.41128,            0.028779,            0.022472,            0.030467,            0.042437,            0.076357,             0.00109,             0.00109,             0.00109
                  92,            0.033942,            0.062656,            0.076513,            0.026642,             0.41051,            0.028761,            0.022373,            0.030618,            0.042535,            0.076352,            0.000991,            0.000991,            0.000991
                  93,            0.032833,            0.063691,            0.076592,              0.0259,             0.41082,            0.028216,            0.022166,             0.03043,            0.042496,            0.076352,            0.000892,            0.000892,            0.000892
                  94,            0.033986,             0.05795,            0.076659,            0.026566,             0.41089,            0.028613,            0.022362,             0.03042,            0.042309,            0.076349,            0.000793,            0.000793,            0.000793
                  95,            0.033823,            0.062835,            0.076438,            0.025974,             0.41236,            0.028448,            0.022303,            0.030378,            0.042313,            0.076342,            0.000694,            0.000694,            0.000694
                  96,            0.034323,             0.06412,            0.076593,            0.025987,             0.41166,            0.028381,            0.022244,            0.030443,            0.042587,            0.076345,            0.000595,            0.000595,            0.000595
                  97,            0.033554,            0.062258,             0.07671,            0.027037,             0.41278,            0.028938,            0.022689,              0.0303,            0.042154,            0.076345,            0.000496,            0.000496,            0.000496
                  98,            0.033778,            0.062613,            0.076746,            0.025984,             0.41174,            0.028445,            0.022377,            0.030342,            0.042182,            0.076345,            0.000397,            0.000397,            0.000397
                  99,            0.033206,            0.060908,            0.076052,            0.025883,             0.41054,            0.028346,            0.022327,            0.030327,            0.042194,            0.076341,            0.000298,            0.000298,            0.000298
